LSPC-A0,LSPC-A0_pinout,QFP160,logo_snk.png
VCC,P
A1,A,IN
A2,A,IN
A3,A,IN
D0,D,BIDIR
D1,D,BIDIR
D2,D,BIDIR
D3,D,BIDIR
D4,D,BIDIR
D5,D,BIDIR
D6,D,BIDIR
D7,D,BIDIR
D8,D,BIDIR
D9,D,BIDIR
D10,D,BIDIR
D11,D,BIDIR
D12,D,BIDIR
D13,D,BIDIR
VCC,P
GND,P
VCC,P
D14,D,BIDIR
D15,D,BIDIR
SV A0,A,OUT
SV A1,A,OUT
SV A2,A,OUT
SV A3,A,OUT
SV A4,A,OUT
SV A5,A,OUT
SV A6,A,OUT
SV A7,A,OUT
SV A8,A,OUT
SV A9,A,OUT
SV A10,A,OUT
SV A11,A,OUT
SV A12,A,OUT
SV A13,A,OUT
SV A14,A,OUT
SV D0,D,BIDIR
VCC,P
GND,P
GND,P
SV D1,D,BIDIR
SV D2,D,BIDIR
SV D3,D,BIDIR
SV D4,D,BIDIR
SV D5,D,BIDIR
SV D6,D,BIDIR
SV D7,D,BIDIR
SV D8,D,BIDIR
SV D9,D,BIDIR
SV D10,D,BIDIR
SV D11,D,BIDIR
SV D12,D,BIDIR
SV D13,D,BIDIR
SV D14,D,BIDIR
SV D15,D,BIDIR
SV /OE,C,OUT
SV /WR,C,OUT
FV D0,D,BIDIR
FV D1,D,BIDIR
FV D2,D,BIDIR
FV D3,D,BIDIR
FV D4,D,BIDIR
FV D5,D,BIDIR
FV D6,D,BIDIR
FV D7,D,BIDIR
FV D8,D,BIDIR
FV D9,D,BIDIR
FV D10,D,BIDIR
FV D11,D,BIDIR
FV D12,D,BIDIR
FV D13,D,BIDIR
FV D14,D,BIDIR
FV D15,D,BIDIR
FV /WR,C,OUT
IPL0,C,OUT
IPL1,C,OUT
GND,P
GND,P
VCC,P
P0,M,OUT
P1,M,OUT
P2,M,OUT
P3,M,OUT
P4,M,OUT
P5,M,OUT
P6,M,OUT
P7,M,OUT
P8,M,OUT
P9,M,OUT
P10,M,OUT
P11,M,OUT
P12,M,OUT
P13,M,OUT
P14,M,OUT
P15,M,OUT
P16,M,BIDIR
VCC,P
GND,P
VCC,P
P17,M,BIDIR
P18,M,BIDIR
P19,M,BIDIR
P20,M,BIDIR
P21,M,BIDIR
P22,M,BIDIR
P23,M,BIDIR
B0 20,?
B0 37,?
N10 1,?
4M,K
B5 9,?
LOAD,C,OUT
C0 110,?
C0 109,?
K11 8,?
H,C,OUT
EVEN,C,OUT
VCC,P
GND,P
GND,P
C0 50,?
2H1,A,OUT
CA4,A,OUT
F7 12,?
C0 37,?
C0 54,?
C0 121,?
C0 122,?
C0 124,?
C0 125,?
C0 105,?
C0 106,?
C0 107,?
C0 108,?
C0 123,?
C0 126,?
FV A0,A,OUT
FV A1,A,OUT
FV A2,A,OUT
FV A3,A,OUT
FV A4,A,OUT
FV A5,A,OUT
FV A6,A,OUT
FV A7,A,OUT
FV A8,A,OUT
FV A9,A,OUT
FV A10,A,OUT
GND,P
DOTA,C,IN
DOTB,C,IN
GND,P
C0 23,?
C0 18,?
P10 2,?
P10 17,?
D7 3,?
GND,P
GND,P
