YM2610,YM2610_pinout,SDIP64,logo_yamaha.png
GND,P
SDD0,D,BIDIR
SDD1,D,BIDIR
SDD2,D,BIDIR
SDD3,D,BIDIR
SDD4,D,BIDIR
SDD5,D,BIDIR
SDD6,D,BIDIR
SDD7,D,BIDIR
RAD7,M,BIDIR
RAD6,M,BIDIR
RAD5,M,BIDIR
RAD4,M,BIDIR
RAD3,M,BIDIR
RAD2,M,BIDIR
RAD1,M,BIDIR
RAD0,M,BIDIR
GND,P
VCC,P
RMPX,C,OUT
ROE,C,OUT
RA9,A,OUT
RA8,A,OUT
NC
NC
AGND,P
ANALOG,?,OUT
AVCC,P
SH1,C,OUT
SH2,C,OUT
OP0,D,OUT
GND,P
RESET,C,IN
GND,P
RA20,A,OUT
RA21,A,OUT
RA22,A,OUT
RA23,A,OUT
NC
TEST,C,IN
PA8,A,OUT
PA9,A,OUT
PA10,A,OUT
PA11,A,OUT
NC
POE,C,OUT
PMPX,C,OUT
PAD0,M,BIDIR
PAD1,M,BIDIR
PAD2,M,BIDIR
PAD3,M,BIDIR
PAD4,M,BIDIR
PAD5,M,BIDIR
PAD6,M,BIDIR
PAD7,M,BIDIR
IRQ,C,OUT
CS,C,IN
WR,C,IN
RD,C,IN
A0,A,IN
A1,A,IN
VCC,P
PHI M,K,IN
PHI S,K,OUT
